Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
linear,"LBDLDL -> Artery_Vessel_density -> BPXSY4 | Z,G",LBDLDL,Artery_Vessel_density,BPXSY4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.13402110962576178,-0.18213963572521186,-0.06505726992734558,-0.1399607060678872,-0.19914724398988798,-0.0657870532835765,0.006466880708884658,-0.004300906627939841,0.024491984066907543,False,0.8,4055,10
linear,"LBDLDL -> Artery_Fractal_dimension -> BPXSY4 | Z,G",LBDLDL,Artery_Fractal_dimension,BPXSY4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.13402110962576178,-0.18213963572521186,-0.06505726992734558,-0.1399607060678872,-0.19914724398988798,-0.0657870532835765,-0.005667248482530381,-0.020730086924704724,0.0015923172119650152,False,0.7,4055,10
linear,"LBDLDL -> Artery_Average_width -> BPXSY4 | Z,G",LBDLDL,Artery_Average_width,BPXSY4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.13402110962576178,-0.18213963572521186,-0.06505726992734558,-0.1399607060678872,-0.19914724398988798,-0.0657870532835765,0.0040094790607619986,-0.004113811433678477,0.015528564644487463,False,0.7,4055,10
linear,"LBDLDL -> Artery_Tortuosity_density -> BPXSY4 | Z,G",LBDLDL,Artery_Tortuosity_density,BPXSY4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.13402110962576178,-0.18213963572521186,-0.06505726992734558,-0.1399607060678872,-0.19914724398988798,-0.0657870532835765,3.9773310237868666e-05,-0.006288668671277732,0.0032231572576398564,False,0.8,4055,10
linear,"LBDLDL -> Artery_Distance_tortuosity -> BPXSY4 | Z,G",LBDLDL,Artery_Distance_tortuosity,BPXSY4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.13402110962576178,-0.18213963572521186,-0.06505726992734558,-0.1399607060678872,-0.19914724398988798,-0.0657870532835765,0.001343320130642227,-0.0010519550675562742,0.00602328141176358,False,0.5,4055,10
linear,"LBDLDL -> Vein_Tortuosity_density -> BPXSY4 | Z,G",LBDLDL,Vein_Tortuosity_density,BPXSY4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.13402110962576178,-0.18213963572521186,-0.06505726992734558,-0.1399607060678872,-0.19914724398988798,-0.0657870532835765,-3.765191552249017e-05,-0.001039608359867402,0.002346385128770524,False,0.8,4055,10
linear,"LBDLDL -> Vein_Distance_tortuosity -> BPXSY4 | Z,G",LBDLDL,Vein_Distance_tortuosity,BPXSY4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.13402110962576178,-0.18213963572521186,-0.06505726992734558,-0.1399607060678872,-0.19914724398988798,-0.0657870532835765,-0.00021495637034831477,-0.0027494631198928497,0.002574064623324755,False,0.5,4055,10
