Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
linear,"LBXAPB -> Artery_Vessel_density -> BPXDI4 | Z,G",LBXAPB,Artery_Vessel_density,BPXDI4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.00030563601104834743,-0.0637958663621674,0.04211376860832215,-3.2090737335913055e-05,-0.06183582638986946,0.039972145082502915,0.00017132672307690043,-0.003467229957347479,0.003086628162547747,False,0.4,4055,10
linear,"LBXAPB -> Artery_Fractal_dimension -> BPXDI4 | Z,G",LBXAPB,Artery_Fractal_dimension,BPXDI4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.00030563601104834743,-0.0637958663621674,0.04211376860832215,-3.2090737335913055e-05,-0.06183582638986946,0.039972145082502915,0.0007710276918313814,-0.002787472502481051,0.004732866592682667,False,0.6,4055,10
linear,"LBXAPB -> Artery_Average_width -> BPXDI4 | Z,G",LBXAPB,Artery_Average_width,BPXDI4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.00030563601104834743,-0.0637958663621674,0.04211376860832215,-3.2090737335913055e-05,-0.06183582638986946,0.039972145082502915,-0.00032499377564273004,-0.0020218977281386843,0.0006570302442044466,False,0.7,4055,10
linear,"LBXAPB -> Artery_Tortuosity_density -> BPXDI4 | Z,G",LBXAPB,Artery_Tortuosity_density,BPXDI4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.00030563601104834743,-0.0637958663621674,0.04211376860832215,-3.2090737335913055e-05,-0.06183582638986946,0.039972145082502915,-0.00017049094016792014,-0.001783329717232171,0.0012458219701208953,False,0.6,4055,10
linear,"LBXAPB -> Artery_Distance_tortuosity -> BPXDI4 | Z,G",LBXAPB,Artery_Distance_tortuosity,BPXDI4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.00030563601104834743,-0.0637958663621674,0.04211376860832215,-3.2090737335913055e-05,-0.06183582638986946,0.039972145082502915,-0.0007470425239756418,-0.0030062662869379825,0.0004219882524001802,False,0.6,4055,10
linear,"LBXAPB -> Vein_Tortuosity_density -> BPXDI4 | Z,G",LBXAPB,Vein_Tortuosity_density,BPXDI4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.00030563601104834743,-0.0637958663621674,0.04211376860832215,-3.2090737335913055e-05,-0.06183582638986946,0.039972145082502915,0.0005966249067866543,-0.0006523255378990956,0.0028951500986709802,False,0.6,4055,10
linear,"LBXAPB -> Vein_Distance_tortuosity -> BPXDI4 | Z,G",LBXAPB,Vein_Distance_tortuosity,BPXDI4,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.00030563601104834743,-0.0637958663621674,0.04211376860832215,-3.2090737335913055e-05,-0.06183582638986946,0.039972145082502915,4.127466647559421e-05,-0.00048153693520956557,0.0004089790229877538,False,0.7,4055,10
