Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
linear,"LBXAPB -> Artery_Vessel_density -> BPXDI3 | Z,G",LBXAPB,Artery_Vessel_density,BPXDI3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.3108993627625654,0.0563587752212064,0.5177302010634743,0.3017904999917588,0.04970883138106692,0.5051581855870093,-0.0003655735955735713,-0.011909522328188551,0.00836444279045426,False,0.5,4055,10
linear,"LBXAPB -> Artery_Fractal_dimension -> BPXDI3 | Z,G",LBXAPB,Artery_Fractal_dimension,BPXDI3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.3108993627625654,0.0563587752212064,0.5177302010634743,0.3017904999917588,0.04970883138106692,0.5051581855870093,0.002161950243412067,-0.005287884731315446,0.00822943835012515,False,0.7,4055,10
linear,"LBXAPB -> Artery_Average_width -> BPXDI3 | Z,G",LBXAPB,Artery_Average_width,BPXDI3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.3108993627625654,0.0563587752212064,0.5177302010634743,0.3017904999917588,0.04970883138106692,0.5051581855870093,0.00031213372142564495,-0.004694545898795577,0.007191770888435898,False,0.5,4055,10
linear,"LBXAPB -> Artery_Tortuosity_density -> BPXDI3 | Z,G",LBXAPB,Artery_Tortuosity_density,BPXDI3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.3108993627625654,0.0563587752212064,0.5177302010634743,0.3017904999917588,0.04970883138106692,0.5051581855870093,0.003078008946968055,-0.0012920889815786305,0.01140123588969851,False,0.8,4055,10
linear,"LBXAPB -> Artery_Distance_tortuosity -> BPXDI3 | Z,G",LBXAPB,Artery_Distance_tortuosity,BPXDI3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.3108993627625654,0.0563587752212064,0.5177302010634743,0.3017904999917588,0.04970883138106692,0.5051581855870093,0.004086153468332647,-0.0067001765847920156,0.021835860674085997,False,0.7,4055,10
linear,"LBXAPB -> Vein_Tortuosity_density -> BPXDI3 | Z,G",LBXAPB,Vein_Tortuosity_density,BPXDI3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.3108993627625654,0.0563587752212064,0.5177302010634743,0.3017904999917588,0.04970883138106692,0.5051581855870093,0.0004249112602108658,-0.0025039206526325684,0.002620031387004795,False,0.6,4055,10
linear,"LBXAPB -> Vein_Distance_tortuosity -> BPXDI3 | Z,G",LBXAPB,Vein_Distance_tortuosity,BPXDI3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.270174721012839,2.9876069794268885,7.257781700439727,0.3108993627625654,0.0563587752212064,0.5177302010634743,0.3017904999917588,0.04970883138106692,0.5051581855870093,-0.0005887212739685863,-0.008154534755017637,0.004136750728324151,False,0.3,4055,10
