Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
linear,"LBDLDL -> Artery_Vessel_density -> LBXIN | Z,G",LBDLDL,Artery_Vessel_density,LBXIN,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.081563215708847,-0.1053353756359817,0.35065395313990366,0.0692475623251934,-0.11687653864709201,0.3356948174165793,0.004389778683641131,-0.006256423921976729,0.01482802711128536,False,0.9,4055,10
linear,"LBDLDL -> Artery_Fractal_dimension -> LBXIN | Z,G",LBDLDL,Artery_Fractal_dimension,LBXIN,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.081563215708847,-0.1053353756359817,0.35065395313990366,0.0692475623251934,-0.11687653864709201,0.3356948174165793,-0.0042534257223140895,-0.011381113927608853,0.0031567760399867657,False,0.8,4055,10
linear,"LBDLDL -> Artery_Average_width -> LBXIN | Z,G",LBDLDL,Artery_Average_width,LBXIN,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.081563215708847,-0.1053353756359817,0.35065395313990366,0.0692475623251934,-0.11687653864709201,0.3356948174165793,0.006728007604668955,-0.002544865061376948,0.016468019101581764,False,0.8,4055,10
linear,"LBDLDL -> Artery_Tortuosity_density -> LBXIN | Z,G",LBDLDL,Artery_Tortuosity_density,LBXIN,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.081563215708847,-0.1053353756359817,0.35065395313990366,0.0692475623251934,-0.11687653864709201,0.3356948174165793,0.0004943070538413793,-0.009228683247614392,0.005052981661777722,False,0.8,4055,10
linear,"LBDLDL -> Artery_Distance_tortuosity -> LBXIN | Z,G",LBDLDL,Artery_Distance_tortuosity,LBXIN,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.081563215708847,-0.1053353756359817,0.35065395313990366,0.0692475623251934,-0.11687653864709201,0.3356948174165793,0.005800007251548955,-0.0028511839107023297,0.022068886245522605,False,0.9,4055,10
linear,"LBDLDL -> Vein_Tortuosity_density -> LBXIN | Z,G",LBDLDL,Vein_Tortuosity_density,LBXIN,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.081563215708847,-0.1053353756359817,0.35065395313990366,0.0692475623251934,-0.11687653864709201,0.3356948174165793,-0.0005275318968258186,-0.006831228661900038,0.0024702060511796573,False,0.4,4055,10
linear,"LBDLDL -> Vein_Distance_tortuosity -> LBXIN | Z,G",LBDLDL,Vein_Distance_tortuosity,LBXIN,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.081563215708847,-0.1053353756359817,0.35065395313990366,0.0692475623251934,-0.11687653864709201,0.3356948174165793,-0.0003154895909070604,-0.003426301157346152,0.0017499054008029934,False,0.5,4055,10
