Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
linear,"LBDLDL -> Artery_Vessel_density -> LBXGH | Z,G",LBDLDL,Artery_Vessel_density,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.0621981918839463,-0.34299345301835715,0.28153056487813904,-0.04355677886263951,-0.33014591158658474,0.2992519707643601,-0.007805683252335928,-0.019611391380617075,0.008000820527931503,False,0.7,4055,10
linear,"LBDLDL -> Artery_Fractal_dimension -> LBXGH | Z,G",LBDLDL,Artery_Fractal_dimension,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.0621981918839463,-0.34299345301835715,0.28153056487813904,-0.04355677886263951,-0.33014591158658474,0.2992519707643601,0.008138233436336302,-0.002348463220691726,0.022019803980672676,False,0.7,4055,10
linear,"LBDLDL -> Artery_Average_width -> LBXGH | Z,G",LBDLDL,Artery_Average_width,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.0621981918839463,-0.34299345301835715,0.28153056487813904,-0.04355677886263951,-0.33014591158658474,0.2992519707643601,-0.008687375489701058,-0.03262123748580391,0.007350599151785226,False,0.8,4055,10
linear,"LBDLDL -> Artery_Tortuosity_density -> LBXGH | Z,G",LBDLDL,Artery_Tortuosity_density,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.0621981918839463,-0.34299345301835715,0.28153056487813904,-0.04355677886263951,-0.33014591158658474,0.2992519707643601,-0.00011841411920818519,-0.00754259092359927,0.006510789004766565,False,0.6,4055,10
linear,"LBDLDL -> Artery_Distance_tortuosity -> LBXGH | Z,G",LBDLDL,Artery_Distance_tortuosity,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.0621981918839463,-0.34299345301835715,0.28153056487813904,-0.04355677886263951,-0.33014591158658474,0.2992519707643601,-0.007478746897726327,-0.012580569662930054,-0.00030351686195118224,True,1.0,4055,10
linear,"LBDLDL -> Vein_Tortuosity_density -> LBXGH | Z,G",LBDLDL,Vein_Tortuosity_density,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.0621981918839463,-0.34299345301835715,0.28153056487813904,-0.04355677886263951,-0.33014591158658474,0.2992519707643601,-0.0008353693136402222,-0.004479354727215141,0.00213590641054932,False,0.5,4055,10
linear,"LBDLDL -> Vein_Distance_tortuosity -> LBXGH | Z,G",LBDLDL,Vein_Distance_tortuosity,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,-0.0621981918839463,-0.34299345301835715,0.28153056487813904,-0.04355677886263951,-0.33014591158658474,0.2992519707643601,-0.0018540573850309608,-0.008632943935920505,0.0022263400542305994,False,0.7,4055,10
