Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
linear,"LBDLDL -> Artery_Vessel_density -> URXUCR | Z,G",LBDLDL,Artery_Vessel_density,URXUCR,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.0681952364627966,-0.038644021450507104,0.27961015567962544,0.06263087205859152,-0.05830933317329974,0.3050526162249157,0.008236279465904708,-0.01278973032989715,0.04356282824369222,False,0.8,4055,10
linear,"LBDLDL -> Artery_Fractal_dimension -> URXUCR | Z,G",LBDLDL,Artery_Fractal_dimension,URXUCR,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.0681952364627966,-0.038644021450507104,0.27961015567962544,0.06263087205859152,-0.05830933317329974,0.3050526162249157,-0.0028108488229531647,-0.04782961751460342,0.044500808052433644,False,0.8,4055,10
linear,"LBDLDL -> Artery_Average_width -> URXUCR | Z,G",LBDLDL,Artery_Average_width,URXUCR,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.0681952364627966,-0.038644021450507104,0.27961015567962544,0.06263087205859152,-0.05830933317329974,0.3050526162249157,-0.0005167533414391429,-0.011742669370013389,0.013130582656210336,False,0.5,4055,10
linear,"LBDLDL -> Artery_Tortuosity_density -> URXUCR | Z,G",LBDLDL,Artery_Tortuosity_density,URXUCR,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.0681952364627966,-0.038644021450507104,0.27961015567962544,0.06263087205859152,-0.05830933317329974,0.3050526162249157,0.0009644968616929055,-0.0037455234425328317,0.012040661855376637,False,0.3,4055,10
linear,"LBDLDL -> Artery_Distance_tortuosity -> URXUCR | Z,G",LBDLDL,Artery_Distance_tortuosity,URXUCR,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.0681952364627966,-0.038644021450507104,0.27961015567962544,0.06263087205859152,-0.05830933317329974,0.3050526162249157,-0.0008356672204740361,-0.009588958923718697,0.0036322039672103705,False,0.4,4055,10
linear,"LBDLDL -> Vein_Tortuosity_density -> URXUCR | Z,G",LBDLDL,Vein_Tortuosity_density,URXUCR,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.0681952364627966,-0.038644021450507104,0.27961015567962544,0.06263087205859152,-0.05830933317329974,0.3050526162249157,0.0017772110021918215,-0.005101960702957742,0.011538126242219204,False,0.6,4055,10
linear,"LBDLDL -> Vein_Distance_tortuosity -> URXUCR | Z,G",LBDLDL,Vein_Distance_tortuosity,URXUCR,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-4.648591603976424,2.485924710676348,7.134516314652772,0.0681952364627966,-0.038644021450507104,0.27961015567962544,0.06263087205859152,-0.05830933317329974,0.3050526162249157,-0.001250353540719075,-0.009457350239754855,0.003019045334268818,False,0.6,4055,10
