Model_Type,Exposure,Outcome,TE_Estimate,NDE_Estimate,Mean_Abs_NIE,NIE_Significant_Count
RetiSEM_GAM,LBXAPB,BPXDI2,0.7770895676917495,0.7923736888734881,0.056870670937816614,0
RetiSEM_GAM,LBXAPB,BPXDI4,-0.062242943128138196,-0.10121635642720073,0.007123051621311368,0
RetiSEM_GAM,LBXAPB,BPXSY2,1.5482693223437267,1.7063554750652035,0.05773074990199325,0
RetiSEM_GAM,LBXAPB,BPXSY4,-0.14085844910380438,-0.23196557746155783,0.048242650624092116,1
RetiSEM_GAM,LBXAPB,LBXCRP,0.8439211033704102,0.8332880046140285,0.07644401108227453,0
RetiSEM_GAM,LBXAPB,LBXGH,0.09952873500308061,0.1683986023651388,0.0817748828689616,0
RetiSEM_GAM,LBXAPB,LBXGLU,-0.7454724775809046,-0.6362901729567068,0.0585690270590414,1
RetiSEM_GAM,LBXAPB,LBXIN,0.40164554025796784,0.43013193093954144,0.07059224338062935,0
RetiSEM_GAM,LBXAPB,LBXSCR,0.17248100298171942,0.1014291067441416,0.017915154907085517,0
RetiSEM_GAM,LBXAPB,URXUCR,0.262421975780147,-0.11922314400741518,0.023955612190295097,0
RetiSEM_GAM,LBXAPB,URXUMA,0.4447251320083785,0.4216551173134627,0.07085010222349584,1
RetiSEM_GAM,LBXTR,BPXDI2,-0.6299502668785094,-0.6896640820321128,0.01830277146409936,0
RetiSEM_GAM,LBXTR,BPXDI4,-0.1948250391129902,-0.20934177478068489,0.0029600971922337477,0
RetiSEM_GAM,LBXTR,BPXSY2,-0.6954250095592452,-0.6251919073595668,0.022907083312868594,0
RetiSEM_GAM,LBXTR,BPXSY4,-0.2702356121531954,-0.29302653918682825,0.027461294855032178,0
RetiSEM_GAM,LBXTR,LBXCRP,2.3716846330555073,2.41810950524578,0.014024071470659915,0
RetiSEM_GAM,LBXTR,LBXGH,3.5150893269494645,3.586853625199867,0.025030928256820018,0
RetiSEM_GAM,LBXTR,LBXGLU,4.276518935568058,4.285099124158408,0.03605175862041849,0
RetiSEM_GAM,LBXTR,LBXIN,1.1885205639345802,1.1050105502406973,0.031081110436473543,0
RetiSEM_GAM,LBXTR,LBXSCR,-0.25237872400771977,-0.19944987318423538,0.007258286239911914,0
RetiSEM_GAM,LBXTR,URXUCR,1.8835061067565697,2.0257659392606007,0.019603157560049166,0
RetiSEM_GAM,LBXTR,URXUMA,1.2621900444723482,1.193144565911537,0.0400672333598276,1
