Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
linear,"LBXTR -> Artery_Vessel_density -> LBXGH | Z,G",LBXTR,Artery_Vessel_density,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,1.4826908815851088,0.8087912805498362,2.2234139612208903,1.5023004948229952,0.8296753624876667,2.2246267694707718,0.009404341313497957,-0.016593390426870497,0.04302947333605946,False,0.6,4055,10
linear,"LBXTR -> Artery_Fractal_dimension -> LBXGH | Z,G",LBXTR,Artery_Fractal_dimension,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,1.4826908815851088,0.8087912805498362,2.2234139612208903,1.5023004948229952,0.8296753624876667,2.2246267694707718,-0.0061079557519972665,-0.0231910136175388,0.013936520553284898,False,0.8,4055,10
linear,"LBXTR -> Artery_Average_width -> LBXGH | Z,G",LBXTR,Artery_Average_width,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,1.4826908815851088,0.8087912805498362,2.2234139612208903,1.5023004948229952,0.8296753624876667,2.2246267694707718,-0.004064065734537986,-0.018560669406073562,0.01347567026263179,False,0.8,4055,10
linear,"LBXTR -> Artery_Tortuosity_density -> LBXGH | Z,G",LBXTR,Artery_Tortuosity_density,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,1.4826908815851088,0.8087912805498362,2.2234139612208903,1.5023004948229952,0.8296753624876667,2.2246267694707718,-0.005420658279372633,-0.0196425804072088,0.0018668547304858205,False,0.8,4055,10
linear,"LBXTR -> Artery_Distance_tortuosity -> LBXGH | Z,G",LBXTR,Artery_Distance_tortuosity,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,1.4826908815851088,0.8087912805498362,2.2234139612208903,1.5023004948229952,0.8296753624876667,2.2246267694707718,-0.010252647635823313,-0.02153206336053559,0.001429420541255861,False,0.9,4055,10
linear,"LBXTR -> Vein_Tortuosity_density -> LBXGH | Z,G",LBXTR,Vein_Tortuosity_density,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,1.4826908815851088,0.8087912805498362,2.2234139612208903,1.5023004948229952,0.8296753624876667,2.2246267694707718,-0.004937525346887766,-0.014463149353165389,0.0028953873591709327,False,0.8,4055,10
linear,"LBXTR -> Vein_Distance_tortuosity -> LBXGH | Z,G",LBXTR,Vein_Distance_tortuosity,LBXGH,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,1.4826908815851088,0.8087912805498362,2.2234139612208903,1.5023004948229952,0.8296753624876667,2.2246267694707718,0.0017688981972349034,-0.00903724203683524,0.01095870702292633,False,0.7,4055,10
